Entry,sequential,2-avg,2-dev,4-avg,4-dev,8-avg,8-dev,16-avg,16-dev
60000,2.600000,2.450000,0.010000,1.480000,0.010000,0.970000,0.000000,0.625000,0.025000
60100,0.880000,0.600000,0.010000,0.345000,0.005000,0.205000,0.005000,0.140000,0.000000
60200,3.505000,3.015000,0.015000,1.785000,0.005000,1.125000,0.005000,0.830000,0.010000
60300,13.760000,14.095000,0.045000,8.275000,0.005000,5.320000,0.010000,3.335000,0.005000
60400,26.942500,33.057500,33.057515,20.730000,20.730121,14.885000,14.888869,16.220000,16.220125
60500,27.180000,42.822500,42.822564,25.750000,25.767951,18.225000,18.239266,14.297500,14.301280
60600,27.137500,77.615000,77.624199,46.837500,46.845379,29.932500,29.978003,23.292500,23.395749
60700,26.442500,192.445000,192.445218,115.572500,115.580186,67.990000,67.996504,53.140000,53.155410
60800,25.837500,595.767500,595.804223,322.842500,322.854674,188.095000,188.114091,151.675000,151.676817
60900,20.207500,832.437500,832.705859,5.470000,5.470553,4.587500,4.652383,4.317500,4.317536
61000,1.230000,0.930000,0.010000,0.540000,0.010000,0.330000,0.010000,0.220000,0.000000
61100,4.960000,4.650000,0.040000,2.705000,0.015000,1.865000,0.015000,1.140000,0.010000
61200,19.595000,22.325000,0.195000,13.015000,0.055000,8.575000,0.015000,5.060000,0.000000
