Entry,sequential,2-total,2-comm,4-total,4-comm,8-total,8-comm,10-total,10-comm,12-total,12-comm
20000,0.520927,0.251720,0.194905,0.268363,0.3060946,0.335913,0.442141,0.330050,0.441281225,0.324186,0.44042145
30000,1.154770,0.554396,0.4226214,0.585668,0.6656513,0.697083,0.9262561,0.703854,0.953679075,0.710624,0.98110205
40000,2.041600,0.981598,0.7475917,1.036900,1.17737325,1.181050,1.5756193,1.221555,1.664133875,1.262060,1.75264845
50000,3.163870,1.535410,1.1689252,1.618750,1.8377169,1.826110,2.43738215,1.892355,2.582295025,1.958600,2.7272079
60000,4.547140,2.208850,1.6827834,2.331570,2.647796,2.653130,3.55083825,2.695800,3.67962415,2.738470,3.80841025
70000,6.460420,3.005940,2.2873462,3.164060,3.59343255,3.549100,4.74378535,3.638935,4.966891075,3.728770,5.1899968
80000,8.379720,3.935640,2.9977987,4.139520,4.69916215,4.659700,6.2317212,4.747230,6.47976625,4.834760,6.7278113
90000,10.463100,4.979900,3.79672585,5.236830,5.9480034,5.889570,7.88197955,6.063960,8.289037925,6.238350,8.6960963
100000,12.900500,6.140840,4.6704042,6.473830,7.3362278,7.170240,9.5800566,7.366880,10.05435545,7.563520,10.5286543
110000,15.580100,7.439490,5.66833605,7.814860,8.8734023,8.847340,11.85256945,9.080410,12.418860375,9.313480,12.9851513
120000,18.505200,8.845710,6.73896205,9.299730,10.5591165,10.362900,13.86172725,10.598150,14.47279055,10.833400,15.08385385
130000,21.783300,10.373500,7.90195655,10.907800,12.37789295,12.072600,16.1382427,12.415650,16.953596525,12.758700,17.76895035
140000,25.134600,12.030300,9.15887285,12.657100,14.36485045,14.191700,19.00217747,14.577250,19.932600815,14.962800,20.86302416
150000,28.713500,13.781200,10.49670525,14.512500,16.48167735,15.931100,21.291208,16.440150,22.4510937,16.949200,23.6209794
